timestamp,user_x,user_y,user_z,best_ap_id,ap_x,ap_y,ap_z,distance,sinr_db,sinr_linear,received_power_dbm
749.4000000000001,155.00000000203573,78.0,0.0,ap1,123.0,175.0,0.0,102.14205793956909,31.522595682449776,1419.9059146177244,-78.47740431755022
749.5,157.00000000203616,78.0,0.0,ap1,123.0,175.0,0.0,102.78618584293542,31.467992742384467,1402.1654905061625,-78.53200725761553
749.6,159.00000000203661,78.0,0.0,ap1,123.0,175.0,0.0,103.46496991806761,31.410821039960638,1383.8279689106776,-78.58917896003936
749.7,161.00000000203707,78.0,0.0,ap1,123.0,175.0,0.0,104.1777327462775,31.351189726162175,1364.9570079406992,-78.64881027383782
749.8000000000001,163.00000000203752,78.0,0.0,ap1,123.0,175.0,0.0,104.92378186170664,31.289209039027725,1345.6152608931202,-78.71079096097228
749.9000000000001,165.00000000203798,78.0,0.0,ap1,123.0,175.0,0.0,105.70241246145326,31.22498976859798,1325.8639941971485,-78.77501023140202
750.0,167.00000000203843,78.0,0.0,ap1,123.0,175.0,0.0,106.51291001648289,31.158642754046483,1305.762750741075,-78.84135724595352
750.1,169.0000000020389,78.0,0.0,ap1,123.0,175.0,0.0,107.35455276879308,31.090278415637158,1285.3690591887746,-78.90972158436284
750.2,171.00000000203934,78.0,0.0,ap1,123.0,175.0,0.0,108.22661410298198,31.020006323393105,1264.7381889476737,-78.9799936766069
750.3000000000001,173.0000000020398,78.0,0.0,ap1,123.0,175.0,0.0,109.12836478296548,30.947934803651975,1243.922949629521,-79.05206519634802
750.4000000000001,175.00000000204025,78.0,0.0,ap1,123.0,175.0,0.0,110.05907504705002,30.874170584032584,1222.9735331571217,-79.12582941596742
750.5,177.00000000204068,78.0,0.0,ap1,123.0,175.0,0.0,111.01801655686519,30.798818476754363,1201.9373961157673,-79.20118152324564
750.6,179.00000000204116,78.0,0.0,ap1,123.0,175.0,0.0,112.00446419776584,30.721981099739253,1180.8591795234545,-79.27801890026075
750.7,181.00000000204162,78.0,0.0,ap1,123.0,175.0,0.0,113.01769773020872,30.643758634487597,1159.7806628918065,-79.3562413655124
750.8000000000001,183.00000000204207,78.0,0.0,ap1,123.0,175.0,0.0,114.05700329328774,30.56424861935382,1138.740749259181,-79.43575138064618
750.9000000000001,185.00000000204255,78.0,0.0,ap1,123.0,175.0,0.0,115.12167476306657,30.48354577655364,1117.775477786813,-79.51645422344636
751.0,187.00000000204298,78.0,0.0,ap1,123.0,175.0,0.0,116.21101496958669,30.40174187100591,1096.9180605038791,-79.59825812899409
751.1,189.00000000204344,78.0,0.0,ap1,123.0,175.0,0.0,117.32433677745523,30.31892559894611,1076.198939854809,-79.68107440105389
751.2,191.0000000020439,78.0,0.0,ap1,123.0,175.0,0.0,118.46096403574457,30.235182504137967,1055.6458638279971,-79.76481749586203
751.3000000000001,193.00000000204435,78.0,0.0,ap1,123.0,175.0,0.0,119.62023240357881,30.15059491944868,1035.283975616425,-79.84940508055132
751.4000000000001,195.0000000020448,78.0,0.0,ap1,123.0,175.0,0.0,120.80149005825405,30.065241931535297,1015.1359149655892,-79.9347580684647
